"Questions and Answers","Pytania i odpowiedzi"
"FAQ Categories","Kategorie FAQ"
"Add new category","Dodaj nową kategorie"
"Save category","Zapisz kategorie"
"You saved the category","Zapisałeś kategorie"
"Delete category","Skasuj kategorie"
"You deleted the category","Skasowałeś kategorie"
"Add new set","Dodaj nowy zestaw"
"Save set","Zapisz zestaw"
"Delete set","Skasuj zestaw"
"You saved the set","Zapisałeś zestaw"
"You deleted the set","Skasowałeś zestaw"
"There are no questions yet","Ten zestaw nie ma jeszcze pytań"
